NRC,Sigla,Sección,Nombre,Profesor
15385,ING2030,1,"Investigación, Innovación y Emprendimiento",Cruz Alfonso
15388,ING2030,2,"Investigación, Innovación y Emprendimiento",Leatherbee Michael
15390,ING2030,3,"Investigación, Innovación y Emprendimiento",Lillo Patricio
15391,ING2030,4,"Investigación, Innovación y Emprendimiento",Pizarro Francisco
15392,ING2030,5,"Investigación, Innovación y Emprendimiento",Ferrer Juan
16268,ING2030,6,"Investigación, Innovación y Emprendimiento",Acevedo Loreto
16271,ING2030,7,"Investigación, Innovación y Emprendimiento",Por Fijar
14598,ICS1113,1,Optimización,Cuadrado Raimundo
14608,ICS1113,2,Optimización,Gonzalez Jaime
14601,ICS1113,3,Optimización,Angulo Gustavo
17539,ICS1113,4,Optimización,Vásquez Sebastián
20276,ICS1113,5,Optimización,Verástegui Felipe
10706,IIC1253,1,Matemáticas Discretas,Riveros Cristian
20789,IIC1253,2,Matemáticas Discretas,Grez Alejandro
25307,IIC1253,3,Matemáticas Discretas,Bucchi Marco
11000,IIQ2043,1,Fisicoquímica,Canales Roberto
13475,ICE2313,1,Mecánica de Sólidos,Jordán Rodrigo
14892,MAT253I,1,Teoría de Integración,Kamburov Nikola
12812,BIO228C,1,Bioquímica y Genética Molecular,Gonzalez Pablo
16515,ICS2123,1,Modelos Estocásticos,Lorca Alvaro
14634,ICS2123,2,Modelos Estocásticos,Navarrete Paula
16514,ICS2123,3,Modelos Estocásticos,Gazmuri Pedro
20857,TTF039,1,El Padrenuestro: la Oracion que Jesus Enseno,Alvarez Rodrigo
23788,TTF039,2,El Padrenuestro: la Oracion que Jesus Enseno,Silva Joaquin
20848,TTF040,1,Doctrina Social de la Iglesia,Miranda Diego
20849,TTF040,2,Doctrina Social de la Iglesia,Miranda Diego
20881,TTF040,3,Doctrina Social de la Iglesia,Miranda Diego
19863,FIS1533,1,Electricidad y Magnetismo,Varas Alejandro
14950,FIS1533,2,Electricidad y Magnetismo,Arevalo Edward
14500,FIS1533,3,Electricidad y Magnetismo,Valenzuela Julio
14509,FIS1533,4,Electricidad y Magnetismo,Castillo Francisco
10760,IIC2233,1,Programación Avanzada,Ruz Cristian
10754,IIC2233,2,Programación Avanzada,Hidalgo María
18284,IIC2233,3,Programación Avanzada,Ossa Antonio
22154,IIC2233,4,Programación Avanzada,Tagle Joaquín
25255,QIM512,1,Análisis Químico y Bioquímico en los Peritajes Forenses,Chen Yo-Ying
10626,IIC1005,1,Computación: Ciencia y Tecnología del Mundo Digital,Parra Denis
10541,EYP1113,1,Probabilidades y Estadística,"Olea Ricardo,
Tello Pilar"
10527,EYP1113,2,Probabilidades y Estadística,"Aravena Ricardo,
Tello Pilar"
10514,EYP1113,3,Probabilidades y Estadística,"Aravena Ricardo,
Tello Pilar"
10500,EYP1113,4,Probabilidades y Estadística,"Olea Ricardo,
Tello Pilar"
14883,MAT1640,1,Ecuaciones Diferenciales,"Sanchez Manuel,
Rojas Carlos"
14959,MAT1640,2,Ecuaciones Diferenciales,"Van T Wout Elwin,
Rojas Carlos"
14888,MAT1640,3,Ecuaciones Diferenciales,"Fernandez Claudio,
Rojas Carlos"
14851,MAT1640,4,Ecuaciones Diferenciales,"Raykov Gueorgui,
Rojas Carlos"
14958,MAT1640,5,Ecuaciones Diferenciales,"Huerta Ivan,
Rojas Carlos"
12874,DPT9030,1,Liderazgo: Juegos y Recreación I,Ibanez Luis
19010,DPT9030,3,Liderazgo: Juegos y Recreación I,Ibanez Luis
19011,DPT9030,4,Liderazgo: Juegos y Recreación I,Ibanez Luis
22841,ICE2006,1,Estática,Junemann Rosita
25065,SOL227,1,Desafíos Sociales Contemporáneos,"Biehl Andres,
Reyes Javiera,
Velasco Patricio,
Neckelmann Maureen"
12072,DNO048,1,Design Bootcamp: Herramientas y Métodos Prácticos para Innovar,"Wuth Paula,
Negrete Sebastian"
11616,DNO002,1,Introduccion a la Tipografia,Galvez Francisco
12172,QIF117,1,El Mundo de los Medicamentos,Mellado Rosemarie
12179,QIF117,2,El Mundo de los Medicamentos,Mellado Rosemarie
15178,DNO053,1,Introducción al Diseño de Servicios,Figueroa Maria
25388,DER102E,1,Sustentabilidad Corporativa y Relación Con las Comunidades,Ibañez Juan
17351,IHI2323,1,Historia de Género en Chile,Townsend Brandi
25472,DER106E,1,Esencia y Protección de los Derechos Humanos,"Candia Gonzalo,
Por Fijar"
