time,name,section,number,nrc,vacancies
2021-01-22 06:54:00.037282+00:00,"Investigación, Innovación y Emprendimiento",1,ING2030,15385,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:54:00.074407+00:00,"Investigación, Innovación y Emprendimiento",2,ING2030,15388,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.114641+00:00,"Investigación, Innovación y Emprendimiento",3,ING2030,15390,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.147545+00:00,"Investigación, Innovación y Emprendimiento",4,ING2030,15391,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.172710+00:00,"Investigación, Innovación y Emprendimiento",5,ING2030,15392,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.200741+00:00,"Investigación, Innovación y Emprendimiento",6,ING2030,16268,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '60', '0', '60']]"
2021-01-22 06:54:00.228987+00:00,"Investigación, Innovación y Emprendimiento",7,ING2030,16271,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '55', '0', '55']]"
2021-01-22 06:54:00.427142+00:00,Optimización,1,ICS1113,14598,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.458042+00:00,Optimización,2,ICS1113,14608,"[['Vacantes libres', '110', '0', '110'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.488033+00:00,Optimización,3,ICS1113,14601,"[['Vacantes libres', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:00.516343+00:00,Optimización,4,ICS1113,17539,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:00.548795+00:00,Optimización,5,ICS1113,20276,"[['Vacantes libres', '70', '0', '70'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:00.581630+00:00,Matemáticas Discretas,1,IIC1253,10706,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:54:00.614925+00:00,Matemáticas Discretas,2,IIC1253,20789,"[['Vacantes libres', '25', '0', '25'], ['Ingeniería', '75', '0', '75']]"
2021-01-22 06:54:00.649086+00:00,Matemáticas Discretas,3,IIC1253,25307,"[['Vacantes libres', '20', '0', '20'], ['Ingeniería', '80', '0', '80']]"
2021-01-22 06:54:00.880132+00:00,Fisicoquímica,1,IIQ2043,11000,"[['Vacantes libres', '90', '0', '90']]"
2021-01-22 06:54:01.090298+00:00,Mecánica de Sólidos,1,ICE2313,13475,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:54:01.124822+00:00,Teoría de Integración,1,MAT253I,14892,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '25', '0', '25']]"
2021-01-22 06:54:01.167098+00:00,Bioquímica y Genética Molecular,1,BIO228C,12812,"[['Vacantes libres', '0', '0', '0'], ['Pedagogía en Educación Media en Ciencias Naturales y Biología', '30', '0', '30'], ['Biologia Marina', '25', '0', '25'], ['Ciencias Biologicas', '50', '0', '50'], ['Ingeniería', '20', '0', '20'], ['Lic. Generales (College)', '5', '0', '5']]"
2021-01-22 06:54:01.202287+00:00,Modelos Estocásticos,1,ICS2123,16515,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '160', '0', '160'], ['Lic. Generales (College)', '20', '0', '20']]"
2021-01-22 06:54:01.243399+00:00,Modelos Estocásticos,2,ICS2123,14634,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '80', '0', '80'], ['Lic. Generales (College)', '10', '0', '10']]"
2021-01-22 06:54:01.281154+00:00,Modelos Estocásticos,3,ICS2123,16514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '110', '0', '110'], ['Lic. Generales (College)', '15', '0', '15']]"
2021-01-22 06:54:01.496386+00:00,El Padrenuestro: la Oracion que Jesus Enseno,1,TTF039,20857,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:54:01.848635+00:00,El Padrenuestro: la Oracion que Jesus Enseno,2,TTF039,23788,"[['Vacantes libres', '60', '3', '57']]"
2021-01-22 06:54:02.058611+00:00,Doctrina Social de la Iglesia,1,TTF040,20848,"[['Vacantes libres', '60', '2', '58']]"
2021-01-22 06:54:02.429333+00:00,Doctrina Social de la Iglesia,2,TTF040,20849,"[['Vacantes libres', '60', '0', '60']]"
2021-01-22 06:54:02.471431+00:00,Doctrina Social de la Iglesia,3,TTF040,20881,"[['Vacantes libres', '0', '0', '0'], ['Educación', '205001-Formacion Pedagogica Para Licenciados', '60', '0', '60']]"
